Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/27/2026,"Online Transfer to GMR ...3259 transaction#: 28971434956 04/27",-20.00,ACCT_XFER,4959.81,,
DEBIT,04/27/2026,"Online Transfer to GMR ...3259 transaction#: 28968999768 04/27",-30.00,ACCT_XFER,4979.81,,
DEBIT,04/27/2026,"IKEA PITTSBURGH PITTSBURGH PA                04/25",-123.93,DEBIT_CARD,5009.81,,
DEBIT,04/27/2026,"ZIPHEALTH* ZIP ZIPHEALTH.CO FL               04/25",-94.95,DEBIT_CARD,5133.74,,
DEBIT,04/27/2026,"CHEWY.COM 786-320-7111 FL                    04/26",-60.98,DEBIT_CARD,5228.69,,
DEBIT,04/27/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             04/24",-361.54,DEBIT_CARD,5289.67,,
DEBIT,04/27/2026,"AMAZON MKTPL*BJ9IU4Q Amzn.com/bill WA        04/26",-92.69,DEBIT_CARD,5651.21,,
DEBIT,04/27/2026,"AMAZON MKTPL*BJ97M7V Amzn.com/bill WA        04/24",-54.04,DEBIT_CARD,5743.90,,
DEBIT,04/27/2026,"AMAZON MKTPL*BJ4LT0V Amzn.com/bill WA        04/24",-52.95,DEBIT_CARD,5797.94,,
DEBIT,04/27/2026,"ROBINSON ANIMAL HOSPI MCKEES ROCKS PA        04/23",-32.60,DEBIT_CARD,5850.89,,
DEBIT,04/24/2026,"Online Transfer to SAV ...9301 transaction#: 28950786484 04/24",-260.40,ACCT_XFER,5883.49,,
DEBIT,04/24/2026,"EARNEST NRI MO   AUTOPAY                    PPD ID: H431261525",-753.49,ACH_DEBIT,6143.89,,
DEBIT,04/24/2026,"COSTCO WHSE #0332 PITTSBURGH PA              04/23",-9.15,DEBIT_CARD,6897.38,,
DEBIT,04/24/2026,"COSTCO WHSE #0332 PITTSBURGH PA              04/23",-98.36,DEBIT_CARD,6906.53,,
DEBIT,04/24/2026,"COSTCO WHSE #0332 PITTSBURGH PA              04/23",-15.76,DEBIT_CARD,7004.89,,
DEBIT,04/24/2026,"BJ'S FUEL #9388 BRIDGEVILLE PA               04/23",-122.09,DEBIT_CARD,7020.65,,
CREDIT,04/24/2026,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",260.40,ACH_CREDIT,7142.74,,
CREDIT,04/24/2026,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",4435.71,ACH_CREDIT,6882.34,,
DEBIT,04/23/2026,"PAYPAL           PURCHASE   ETSY INC        WEB ID: PAYPALSI77",-60.36,ACH_DEBIT,2446.63,,
DEBIT,04/23/2026,"PAYPAL           PURCHASE   ADOBE INC ADOBE WEB ID: PAYPALSI77",-42.39,ACH_DEBIT,2506.99,,
DEBIT,04/23/2026,"Online Transfer to CHK ...1108 transaction#: 28933949992 04/23",-40.00,ACCT_XFER,2549.38,,
DEBIT,04/23/2026,"PAYPAL           INST XFER  PYPL PAYIN4     WEB ID: PAYPALSI88",-45.83,ACH_DEBIT,2589.38,,
DEBIT,04/23/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            04/22",-222.43,DEBIT_CARD,2635.21,,
DEBIT,04/23/2026,"CANON HILL VETERINARY 724-7460128 PA         04/22",-259.00,DEBIT_CARD,2857.64,,
CREDIT,04/22/2026,"INTEREST PAYMENT",0.10,MISC_CREDIT,3116.64,,
DEBIT,04/22/2026,"Amazon.com*BY3MF5YQ1 Amzn.com/bill WA        04/22",-34.15,DEBIT_CARD,3116.54,,
DEBIT,04/22/2026,"TRACTOR SUPPLY   ONLINE PMT 621992233279384 WEB ID: CITICTP",-601.63,ACH_DEBIT,3150.69,,
DEBIT,04/22/2026,"SHANTI BLISS WELLNES WWW.SHANTIBLI PA        04/21",-20.00,DEBIT_CARD,3752.32,,
DEBIT,04/22/2026,"AMAZON MKTPL*BJ5B12Z Amzn.com/bill WA        04/22",-18.33,DEBIT_CARD,3772.32,,
DEBIT,04/22/2026,"AMAZON MKTPL*BY9CI5E Amzn.com/bill WA        04/22",-90.17,DEBIT_CARD,3790.65,,
DEBIT,04/22/2026,"AMAZON MKTPL*BY4EO07 Amzn.com/bill WA        04/21",-27.15,DEBIT_CARD,3880.82,,
DEBIT,04/21/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-80.73,ACH_DEBIT,3907.97,,
DEBIT,04/21/2026,"PEOPLES NATURAL  GAS BILL                   PPD ID: 9849096001",-129.52,ACH_DEBIT,3988.70,,
DEBIT,04/21/2026,"ATT              PAYMENT                    PPD ID: 9864031004",-350.14,MISC_DEBIT,4118.22,,
DEBIT,04/21/2026,"MICROSOFT*PC GAME PA MICROSOFT.COM WA        04/21",-17.64,DEBIT_CARD,4468.36,,
DEBIT,04/21/2026,"Payment to Chase card ending in 8877 04/21",-6327.35,LOAN_PMT,4486.00,,
DEBIT,04/21/2026,"1PASSWORD FAMILIES TORONTO ON                04/20",-51.36,DEBIT_CARD,10813.35,,
DEBIT,04/20/2026,"CVS/PHARMACY #03999 CARNEGIE PA              04/20",-31.06,DEBIT_CARD,10864.71,,
DEBIT,04/20/2026,"PAYPAL           PURCHASE   ABCOUNSELINGNOW WEB ID: PAYPALSI77",-125.00,ACH_DEBIT,10895.77,,
DEBIT,04/20/2026,"Online Transfer to GMR ...3259 transaction#: 28897052130 04/20",-25.00,ACCT_XFER,11020.77,,
DEBIT,04/20/2026,"Online Transfer to  CHK ...1108 transaction#: 28807926794 04/20",-40.00,ACCT_XFER,11045.77,,
DEBIT,04/20/2026,"Online Transfer to  CHK ...5269 transaction#: 28807845972 04/20",-25.00,ACCT_XFER,11085.77,,
DEBIT,04/20/2026,"Amazon.com*BY3PO9C80 Amzn.com/bill WA        04/20",-40.45,DEBIT_CARD,11110.77,,
DEBIT,04/20/2026,"KRISPY KREME 0365 WASHINGTON PA              04/19",-30.18,DEBIT_CARD,11151.22,,
DEBIT,04/20/2026,"Netflix.com netflix.com CA                   04/19",-26.74,DEBIT_CARD,11181.40,,
DEBIT,04/20/2026,"McDonalds 6822 BRIDGEVILLE PA                04/19",-80.99,DEBIT_CARD,11208.14,,
DEBIT,04/20/2026,"MARKET DISTRICT #0014 800-553-2324 PA        04/18",-137.88,DEBIT_CARD,11289.13,,
DEBIT,04/20/2026,"Online Transfer to GMR ...3259 transaction#: 28880710202 04/20",-125.00,ACCT_XFER,11427.01,,
DEBIT,04/20/2026,"ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101",-660.76,ACH_DEBIT,11552.01,,
DEBIT,04/20/2026,"APPLE.COM/BILL 866-712-7753 CA               04/18",-13.90,DEBIT_CARD,12212.77,,
DEBIT,04/20/2026,"APPLE.COM/BILL 866-712-7753 CA               04/18",-34.21,DEBIT_CARD,12226.67,,
DEBIT,04/20/2026,"Amazon.com*BY4657481 Amzn.com/bill WA        04/17",-31.98,DEBIT_CARD,12260.88,,
CREDIT,04/20/2026,"Online Transfer from CHK ...1108 transaction#: 28902763091",50.00,ACCT_XFER,12292.86,,
CREDIT,04/20/2026,"Online Transfer from SAV ...9301 transaction#: 28906659580",6327.35,ACCT_XFER,12242.86,,
DEBIT,04/17/2026,"Online Transfer to CHK ...1108 transaction#: 28872438050 04/17",-50.00,ACCT_XFER,5915.51,,
DEBIT,04/17/2026,"UBER * EATS PENDING SAN FRANCISCO CA         04/17",-133.58,DEBIT_CARD,5965.51,,
DEBIT,04/17/2026,"CONNECTED HEALTH WWW.CONNECTED PA            04/17",-477.00,DEBIT_CARD,6099.09,,
DEBIT,04/17/2026,"CAREMARK MAIL 888-892-7227 IL                04/16",-50.00,DEBIT_CARD,6576.09,,
DEBIT,04/16/2026,"PAYPAL           PURCHASE   TRADERJACKS     WEB ID: PAYPALSI77",-60.00,ACH_DEBIT,6626.09,,
DEBIT,04/16/2026,"PAYPAL           PURCHASE   TRADERJACKS     WEB ID: PAYPALSI77",-140.00,ACH_DEBIT,6686.09,,
DEBIT,04/16/2026,"SHANTI BLISS WELLNES WWW.SHANTIBLI PA        04/16",-80.00,DEBIT_CARD,6826.09,,
DEBIT,04/16/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-174.00,ACH_DEBIT,6906.09,,
DEBIT,04/15/2026,"VENMO            PAYMENT    1049629640665   WEB ID: 3264681992",-50.00,MISC_DEBIT,7080.09,,
DEBIT,04/15/2026,"NEWREZ-SHELLPOIN ACH PMT                    PPD ID: 6371542226",-2101.13,ACH_DEBIT,7130.09,,
DEBIT,04/15/2026,"SHELL RECHARGE SOLUTI 855-900-7584 CA        04/15",-7.44,DEBIT_CARD,9231.22,,
DEBIT,04/15/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            04/14",-317.77,DEBIT_CARD,9238.66,,
DEBIT,04/14/2026,"APPLE.COM/BILL 866-712-7753 CA               04/14",-7.48,DEBIT_CARD,9556.43,,
DEBIT,04/14/2026,"AMFAM INSURANCE PX7 800-535-2001 WI          04/14",-321.80,DEBIT_CARD,9563.91,,
DEBIT,04/14/2026,"APPLE.COM/BILL 866-712-7753 CA               04/14",-21.04,DEBIT_CARD,9885.71,,
DEBIT,04/14/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            04/13",-2.14,DEBIT_CARD,9906.75,,
DEBIT,04/14/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            04/13",-174.79,DEBIT_CARD,9908.89,,
DEBIT,04/14/2026,"PEACE WITHIN THE MIN support@simpl PA        04/13",-20.00,DEBIT_CARD,10083.68,,
DEBIT,04/14/2026,"CANON HILL VETERINARY 724-7460128 PA         04/13",-182.00,DEBIT_CARD,10103.68,,
DEBIT,04/14/2026,"UPMC PHYSICIANS 888-647-9600 PA              04/14",-30.00,DEBIT_CARD,10285.68,,
CREDIT,04/14/2026,"Online Transfer from SAV ...1215 transaction#: 28827267539",239.00,ACCT_XFER,10315.68,,
DEBIT,04/13/2026,"Online Payment 28386366157 To Washington Financial Bank 04/13",-6345.06,BILLPAY,10076.68,,
DEBIT,04/13/2026,"Online Transfer to GMR ...3259 transaction#: 28807136580 04/13",-25.00,ACCT_XFER,16421.74,,
DEBIT,04/13/2026,"Online Transfer to  CHK ...5269 transaction#: 28721388182 04/13",-25.00,ACCT_XFER,16446.74,,
DEBIT,04/13/2026,"Online Transfer to  CHK ...1108 transaction#: 28720917637 04/13",-40.00,ACCT_XFER,16471.74,,
DEBIT,04/13/2026,"Prime Video *BY9SU4QK 888-802-3080 WA        04/12",-18.01,DEBIT_CARD,16511.74,,
DEBIT,04/13/2026,"TEXAS ROADHOUSE #2293 O olo.com PA           04/12",-131.73,DEBIT_CARD,16529.75,,
DEBIT,04/13/2026,"GOOGLE *YouTubePremi g.co/helppay# CA        04/12",-24.60,DEBIT_CARD,16661.48,,
DEBIT,04/13/2026,"SOERGEL GREENHOUSES WEXFORD PA               04/12",-156.29,DEBIT_CARD,16686.08,,
DEBIT,04/13/2026,"APPLE.COM/BILL 866-712-7753 CA               04/12",-3.20,DEBIT_CARD,16842.37,,
DEBIT,04/13/2026,"APPLE.COM/BILL 866-712-7753 CA               04/12",-59.87,DEBIT_CARD,16845.57,,
DEBIT,04/13/2026,"ROSS STORE #2385 BRIDGEVILLE PA              04/12",-21.37,DEBIT_CARD,16905.44,,
DEBIT,04/13/2026,"MICROSOFT*REALMS JAVA REDMOND WA             04/12",-8.55,DEBIT_CARD,16926.81,,
DEBIT,04/13/2026,"MICROSOFT*REALMS JAVA REDMOND WA             04/12",-8.55,DEBIT_CARD,16935.36,,
DEBIT,04/13/2026,"AMAZON MKTPL*B70HI4E Amzn.com/bill WA        04/12",-29.20,DEBIT_CARD,16943.91,,
DEBIT,04/13/2026,"TROPICAL SMOOTHIE CAFE BRIDGEVILLE PA        04/11",-24.45,DEBIT_CARD,16973.11,,
DEBIT,04/13/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             04/11",-172.99,DEBIT_CARD,16997.56,,
DEBIT,04/13/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            04/11",-3.73,DEBIT_CARD,17170.55,,
DEBIT,04/13/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            04/11",-49.65,DEBIT_CARD,17174.28,,
DEBIT,04/13/2026,"AMAZON MKTPL*BC38R7K Amzn.com/bill WA        04/11",-96.34,DEBIT_CARD,17223.93,,
DEBIT,04/13/2026,"DNH*GODADDY 480-505-8855 AZ                  04/11",-52.98,DEBIT_CARD,17320.27,,
DEBIT,04/13/2026,"CONNECTED HEALTH WWW.CONNECTED PA            04/11",-240.00,DEBIT_CARD,17373.25,,
DEBIT,04/13/2026,"CHEWY.COM 786-320-7111 FL                    04/11",-59.96,DEBIT_CARD,17613.25,,
DEBIT,04/10/2026,"COSTCO WHSE #0332 PITTSBURGH PA              04/09",-292.05,DEBIT_CARD,17673.21,,
DEBIT,04/10/2026,"COSTCO WHSE #0332 PITTSBURGH PA              04/09",-34.65,DEBIT_CARD,17965.26,,
CREDIT,04/10/2026,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",173.60,ACH_CREDIT,17999.91,,
CREDIT,04/10/2026,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",248.00,ACH_CREDIT,17826.31,,
CREDIT,04/10/2026,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",4435.71,ACH_CREDIT,17578.31,,
DEBIT,04/10/2026,"Amazon.com Amzn.com/bill WA                  04/10",192.59,DEBIT_CARD,13142.60,,
DEBIT,04/09/2026,"APPLE.COM/BILL 866-712-7753 CA               04/09",-5.34,DEBIT_CARD,12950.01,,
DEBIT,04/09/2026,"FIVE GUYS PA 1798 ECOM BRIDGEVILLE PA        04/08",-103.27,DEBIT_CARD,12955.35,,
DEBIT,04/09/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             04/08",-180.12,DEBIT_CARD,13058.62,,
DEBIT,04/09/2026,"PEACE OF MIND PSYCHIAT 412-3197866 PA        04/08",-20.00,DEBIT_CARD,13238.74,,
DEBIT,04/08/2026,"PAYPAL           PURCHASE   PATREON  MEMBER WEB ID: PAYPALSI77",-8.46,ACH_DEBIT,13258.74,,
DEBIT,04/08/2026,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",-40.00,ACH_DEBIT,13267.20,,
DEBIT,04/08/2026,"SOLAR SERVICING  SURE PAY                   PPD ID: CSCSM67178",-220.80,ACH_DEBIT,13307.20,,
DEBIT,04/08/2026,"BMWFINANCIAL SVS BMWFS PYMT                 PPD ID: 1222568977",-760.30,ACH_DEBIT,13528.00,,
DEBIT,04/08/2026,"JFI*PREMIER MARTIAL AR justifi.ai PA         04/07",-50.00,DEBIT_CARD,14288.30,,
DEBIT,04/08/2026,"TROPICAL SMOOTHIE CAFE 240-3205530 VA        04/07",-24.36,DEBIT_CARD,14338.30,,
DEBIT,04/08/2026,"CONNECTED HEALTH PHARM 724-9334320 PA        04/07",-52.00,DEBIT_CARD,14362.66,,
DEBIT,04/08/2026,"Amazon.com*B726H6YG2 Amzn.com/bill WA        04/08",-32.42,DEBIT_CARD,14414.66,,
DEBIT,04/08/2026,"Amazon.com*B76BU3YH2 Amzn.com/bill WA        04/08",-27.20,DEBIT_CARD,14447.08,,
DEBIT,04/08/2026,"LOWES #00907* 866-483-7521 NC                04/07",-854.93,DEBIT_CARD,14474.28,,
DEBIT,04/07/2026,"Online Transfer to GMR ...3259 transaction#: 28740426582 04/07",-25.00,ACCT_XFER,15329.21,,
DEBIT,04/07/2026,"GM Financial     GMF Pymt                   PPD ID: I522190781",-1487.10,ACH_DEBIT,15354.21,,
DEBIT,04/07/2026,"PEACE WITHIN THE MIN support@simpl PA        04/06",-20.00,DEBIT_CARD,16841.31,,
DEBIT,04/07/2026,"AMAZON MKTPL*BC5KQ3G Amzn.com/bill WA        04/07",-50.35,DEBIT_CARD,16861.31,,
DEBIT,04/06/2026,"Online Transfer to GMR ...3259 transaction#: 28720354819 04/06",-25.00,ACCT_XFER,16911.66,,
DEBIT,04/06/2026,"Online Transfer to  SAV ...5337 transaction#: 28328124958",-200.00,ACCT_XFER,16936.66,,
DEBIT,04/06/2026,"Online Transfer to  CHK ...1108 transaction#: 28621989448 04/06",-40.00,ACCT_XFER,17136.66,,
DEBIT,04/06/2026,"Online Transfer to  SAV ...5329 transaction#: 28328056726",-200.00,ACCT_XFER,17176.66,,
DEBIT,04/06/2026,"Online Transfer to  SAV ...8999 transaction#: 28328088415",-200.00,ACCT_XFER,17376.66,,
DEBIT,04/06/2026,"Online Transfer to  CHK ...5269 transaction#: 28622362823 04/06",-25.00,ACCT_XFER,17576.66,,
DEBIT,04/06/2026,"Online Transfer to CHK ...1108 transaction#: 28713936358 04/06",-10.75,ACCT_XFER,17601.66,,
DEBIT,04/06/2026,"AMAZON MKTPL*BG1HV4I Amzn.com/bill WA        04/06",-42.14,DEBIT_CARD,17612.41,,
DEBIT,04/06/2026,"AMAZON MKTPL*BC5VY8T Amzn.com/bill WA        04/06",-56.38,DEBIT_CARD,17654.55,,
DEBIT,04/06/2026,"Amazon.com*BC0GN4TW1 Amzn.com/bill WA        04/06",-35.36,DEBIT_CARD,17710.93,,
DEBIT,04/06/2026,"JFI*PREMIER MARTIAL AR justifi.ai PA         04/05",-194.00,DEBIT_CARD,17746.29,,
DEBIT,04/06/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             04/04",-326.58,DEBIT_CARD,17940.29,,
DEBIT,04/06/2026,"CVS/PHARMACY #03999 CARNEGIE PA              04/04",-57.14,DEBIT_CARD,18266.87,,
DEBIT,04/06/2026,"VISION GARAGE PITTSBURGH PA                  04/04",-6.00,DEBIT_CARD,18324.01,,
DEBIT,04/06/2026,"SQ *PAAR Pittsburgh PA                       04/04",-200.00,DEBIT_CARD,18330.01,,
DEBIT,04/06/2026,"GOMOBILEPGH 2 www.parkmobil PA               04/04",-3.15,DEBIT_CARD,18530.01,,
DEBIT,04/06/2026,"UBER   *EATS HELP.UBER.COM CA                04/04",-207.64,DEBIT_CARD,18533.16,,
CREDIT,04/06/2026,"Online Transfer from CHK ...4072 transaction#: 28723704002",338.00,ACCT_XFER,18740.80,,
DEBIT,04/03/2026,"NON-CHASE ATM WITHDRAW               352364  04/03160 MILLE",-303.50,ATM,18402.80,,
DEBIT,04/03/2026,"Online Payment 28298535833 To Northwest 04/03",-200.00,BILLPAY,18706.30,,
DEBIT,04/03/2026,"Online Transfer to  CHK ...4072 transaction#: 28312853883 04/03",-500.00,ACCT_XFER,18906.30,,
DEBIT,04/03/2026,"Online Transfer to  CHK ...0459 transaction#: 28312972075 04/03",-500.00,ACCT_XFER,19406.30,,
DEBIT,04/03/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             04/02",-16.50,DEBIT_CARD,19906.30,,
DEBIT,04/03/2026,"APPLE.COM/BILL 866-712-7753 CA               04/02",-10.69,DEBIT_CARD,19922.80,,
DEBIT,04/03/2026,"SQ *GRANDPA JOE'S CANDY Canonsburg PA        04/02",-324.11,DEBIT_CARD,19933.49,,
DEBIT,04/03/2026,"THE BOROUGH OF CANONSBU CANONSBURG PA        04/02",-2.00,DEBIT_CARD,20257.60,,
DEBIT,04/03/2026,"IPHONE CITIZ*PMT 18 OF 888-2016306 CT        04/02",-62.41,DEBIT_CARD,20259.60,,
DEBIT,04/02/2026,"VERIZON*RECURRING PAY 800-VERIZON FL         04/02",-89.99,DEBIT_CARD,20322.01,,
DEBIT,04/02/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            04/01",-86.78,DEBIT_CARD,20412.00,,
DEBIT,04/02/2026,"APPLE.COM/BILL 866-712-7753 CA               04/02",-5.34,DEBIT_CARD,20498.78,,
DEBIT,04/01/2026,"PAYPAL           PURCHASE   SPOTIFY*P410556 WEB ID: PAYPALSI77",-23.53,ACH_DEBIT,20504.12,,
DEBIT,04/01/2026,"Online Transfer to CHK ...5269 transaction#: 28663794330 04/01",-25.00,ACCT_XFER,20527.65,,
DEBIT,04/01/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             04/01",-49.90,DEBIT_CARD,20552.65,,
DEBIT,04/01/2026,"Online Payment 28270552624 To Northwest 04/01",-200.00,BILLPAY,20602.55,,
DEBIT,04/01/2026,"FirstEnergy      OPCO-ACH                   PPD ID: 1341968288",-395.85,ACH_DEBIT,20802.55,,
DEBIT,04/01/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             03/31",-233.92,DEBIT_CARD,21198.40,,
DEBIT,04/01/2026,"MCDONALD'S F6822 BRIDGEVILLE PA              03/31",-45.41,DEBIT_CARD,21432.32,,
DEBIT,04/01/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            03/31",-394.84,DEBIT_CARD,21477.73,,
DEBIT,04/01/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            03/31",-99.99,DEBIT_CARD,21872.57,,
DEBIT,03/31/2026,"Online Transfer to CHK ...0459 transaction#: 28645750426 03/31",-340.00,ACCT_XFER,21972.56,,
DEBIT,03/31/2026,"APPLECARD GSBANK PAYMENT    466580          WEB ID: 9999999999",-137.00,ACH_DEBIT,22312.56,,
DEBIT,03/31/2026,"Model Cleaners Plant 724-4899553 PA          03/30",-94.54,DEBIT_CARD,22449.56,,
CREDIT,03/31/2026,"Online Transfer from CHK ...5269 transaction#: 28645922452",320.00,ACCT_XFER,22544.10,,
DEBIT,03/30/2026,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,22224.10,,
DEBIT,03/30/2026,"PAYPAL           INST XFER  EGMEDIAINVE     WEB ID: PAYPALSI77",-29.95,ACH_DEBIT,22239.10,,
DEBIT,03/30/2026,"PAYPAL           INST XFER  ABCOUNSELINGNOW WEB ID: PAYPALSI77",-125.00,ACH_DEBIT,22269.05,,
DEBIT,03/30/2026,"Online Transfer to GMR ...3259 transaction#: 28627820778 03/30",-113.00,ACCT_XFER,22394.05,,
DEBIT,03/30/2026,"PEACE WITHIN THE MIN support@simpl PA        03/30",-20.00,DEBIT_CARD,22507.05,,
DEBIT,03/30/2026,"APPLE.COM/BILL 866-712-7753 CA               03/30",-39.73,DEBIT_CARD,22527.05,,
DEBIT,03/30/2026,"Online Transfer to GMR ...3259 transaction#: 28621389679 03/30",-25.00,ACCT_XFER,22566.78,,
DEBIT,03/30/2026,"Online Transfer to  CHK ...5269 transaction#: 28539832714 03/30",-25.00,ACCT_XFER,22591.78,,
DEBIT,03/30/2026,"Online Transfer to  CHK ...1108 transaction#: 28538092562 03/30",-40.00,ACCT_XFER,22616.78,,
DEBIT,03/30/2026,"APPLE.COM/BILL 866-712-7753 CA               03/30",-29.99,DEBIT_CARD,22656.78,,
DEBIT,03/30/2026,"BJS WHOLESALE #388 BRIDGEVILLE PA            03/29",-186.12,DEBIT_CARD,22686.77,,
DEBIT,03/30/2026,"TRADER JOE S #63 1600 PITTSBURGH PA  557107  03/29",-161.76,DEBIT_CARD,22872.89,,
DEBIT,03/30/2026,"DUNKIN #356242 412-321-0313 PA               03/29",-46.93,DEBIT_CARD,23034.65,,
DEBIT,03/30/2026,"UBER * EATS PENDING SAN FRANCISCO CA         03/28",-37.11,DEBIT_CARD,23081.58,,
DEBIT,03/30/2026,"UPLIFT DESK 800-349-3839 TX                  03/28",-148.73,DEBIT_CARD,23118.69,,
DEBIT,03/30/2026,"LOWE'S #2417 CARNEGIE PA             269824  03/28",-18.17,DEBIT_CARD,23267.42,,
DEBIT,03/30/2026,"FIREBIRDS OF S FAYETTE BRIDGEVILLE PA        03/29",-107.68,DEBIT_CARD,23285.59,,
DEBIT,03/30/2026,"AMAZON MKTPL*B50DF78 Amzn.com/bill WA        03/28",-52.96,DEBIT_CARD,23393.27,,
